family,level,instance,algorithm,colors_used,execution_time,valid,error,num_vertices,num_edges,density,avg_degree,metadata
sudoku,easy,sudoku_easy_0,greedy,14,0.00012809998588636518,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""easy"", ""given_cells"": 42}"
sudoku,easy,sudoku_easy_0,dsatur,10,0.0008047999872360379,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""easy"", ""given_cells"": 42}"
sudoku,easy,sudoku_easy_0,welsh_powell,14,0.0005800999933853745,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""easy"", ""given_cells"": 42}"
sudoku,easy,sudoku_easy_0,smallest_last,14,0.0017896000063046813,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""easy"", ""given_cells"": 42}"
sudoku,easy,sudoku_easy_0,largest_first,14,0.00011640001321211457,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""easy"", ""given_cells"": 42}"
sudoku,easy,sudoku_easy_0,iterated_greedy,11,0.0005422999965958297,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""easy"", ""given_cells"": 42}"
sudoku,easy,sudoku_easy_1,greedy,14,0.0001024999946821481,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""easy"", ""given_cells"": 43}"
sudoku,easy,sudoku_easy_1,dsatur,10,0.0006480999873019755,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""easy"", ""given_cells"": 43}"
sudoku,easy,sudoku_easy_1,welsh_powell,14,0.0003915000124834478,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""easy"", ""given_cells"": 43}"
sudoku,easy,sudoku_easy_1,smallest_last,14,0.0015740000235382468,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""easy"", ""given_cells"": 43}"
sudoku,easy,sudoku_easy_1,largest_first,14,0.0001126999850384891,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""easy"", ""given_cells"": 43}"
sudoku,easy,sudoku_easy_1,iterated_greedy,11,0.0005095000087749213,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""easy"", ""given_cells"": 43}"
sudoku,medium,sudoku_medium_0,greedy,14,0.00010410000686533749,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""medium"", ""given_cells"": 30}"
sudoku,medium,sudoku_medium_0,dsatur,10,0.0007523999956902117,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""medium"", ""given_cells"": 30}"
sudoku,medium,sudoku_medium_0,welsh_powell,14,0.000440500007243827,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""medium"", ""given_cells"": 30}"
sudoku,medium,sudoku_medium_0,smallest_last,14,0.0016309999919030815,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""medium"", ""given_cells"": 30}"
sudoku,medium,sudoku_medium_0,largest_first,14,0.00011320001794956625,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""medium"", ""given_cells"": 30}"
sudoku,medium,sudoku_medium_0,iterated_greedy,11,0.0005151999939698726,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""medium"", ""given_cells"": 30}"
sudoku,medium,sudoku_medium_1,greedy,14,0.00010289999772794545,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""medium"", ""given_cells"": 32}"
sudoku,medium,sudoku_medium_1,dsatur,10,0.0007025999948382378,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""medium"", ""given_cells"": 32}"
sudoku,medium,sudoku_medium_1,welsh_powell,14,0.0003923000185750425,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""medium"", ""given_cells"": 32}"
sudoku,medium,sudoku_medium_1,smallest_last,14,0.0016494999872520566,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""medium"", ""given_cells"": 32}"
sudoku,medium,sudoku_medium_1,largest_first,14,0.0001139000232797116,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""medium"", ""given_cells"": 32}"
sudoku,medium,sudoku_medium_1,iterated_greedy,11,0.0005061999836470932,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""medium"", ""given_cells"": 32}"
sudoku,hard,sudoku_hard_0,greedy,14,9.479999425821006e-05,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""hard"", ""given_cells"": 28}"
sudoku,hard,sudoku_hard_0,dsatur,10,0.0007347999780904502,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""hard"", ""given_cells"": 28}"
sudoku,hard,sudoku_hard_0,welsh_powell,14,0.00039229998947121203,True,,81,810,0.25,20.0,"{""size"": 9, ""difficulty"": ""hard"", ""given_cells"": 28}"
