family,level,algorithm,colors_used,execution_time
custom_graph,dense,dsatur,4.0,0.00023990002227947116
custom_graph,dense,greedy,5.0,3.0399998649954796e-05
custom_graph,dense,iterated_greedy,5.0,0.00021180001203902066
custom_graph,dense,largest_first,5.0,5.319999763742089e-05
custom_graph,dense,smallest_last,5.0,0.0007449999975506216
custom_graph,dense,welsh_powell,5.0,0.00012060001608915627
custom_graph,medium,dsatur,3.5,0.00013944999955128878
custom_graph,medium,greedy,4.0,1.899998460430652e-05
custom_graph,medium,iterated_greedy,4.0,0.00013139999646227807
custom_graph,medium,largest_first,4.0,3.290000313427299e-05
custom_graph,medium,smallest_last,3.0,0.000424749989178963
custom_graph,medium,welsh_powell,3.5,7.500000356230885e-05
custom_graph,sparse,dsatur,3.0,6.710000161547214e-05
custom_graph,sparse,greedy,3.5,1.1199997970834374e-05
custom_graph,sparse,iterated_greedy,3.0,7.3050003265962e-05
custom_graph,sparse,largest_first,3.0,2.0000021322630346e-05
custom_graph,sparse,smallest_last,3.0,0.00021739999647252262
custom_graph,sparse,welsh_powell,3.0,4.104999243281782e-05
futoshiki,large,dsatur,7.0,0.00030009998590685427
futoshiki,large,greedy,8.0,3.860000288113952e-05
futoshiki,large,iterated_greedy,8.0,0.00024309998843818903
futoshiki,large,largest_first,8.0,5.5800017435103655e-05
futoshiki,large,smallest_last,8.0,0.0007793999975547194
futoshiki,large,welsh_powell,8.0,0.00018759997328743339
futoshiki,medium,dsatur,6.0,0.0001708999916445464
futoshiki,medium,greedy,8.0,2.5399989681318402e-05
futoshiki,medium,iterated_greedy,7.0,0.0001411500124959275
futoshiki,medium,largest_first,8.0,3.0449999030679464e-05
futoshiki,medium,smallest_last,8.0,0.0003928499936591834
futoshiki,medium,welsh_powell,8.0,0.00010654999641701579
futoshiki,small,dsatur,5.0,0.00011665001511573792
futoshiki,small,greedy,8.0,1.9700004486367106e-05
futoshiki,small,iterated_greedy,5.5,9.635000606067479e-05
futoshiki,small,largest_first,8.0,2.1549989469349384e-05
futoshiki,small,smallest_last,8.0,0.0003323499986436218
futoshiki,small,welsh_powell,8.0,7.174999336712062e-05
kakuro,large,dsatur,5.0,0.0004265999887138605
kakuro,large,greedy,6.0,5.2000017603859305e-05
kakuro,large,iterated_greedy,5.0,0.0003979999746661633
kakuro,large,largest_first,5.0,9.759998647496104e-05
kakuro,large,smallest_last,5.0,0.00230540000484325
kakuro,large,welsh_powell,5.0,0.00022960000205785036
kakuro,medium,dsatur,5.0,0.00022059999173507094
kakuro,medium,greedy,5.0,2.9499991796910763e-05
kakuro,medium,iterated_greedy,5.0,0.00019750000501517206
kakuro,medium,largest_first,5.0,4.614998761098832e-05
kakuro,medium,smallest_last,5.0,0.0008636499987915158
kakuro,medium,welsh_powell,5.0,0.00012399999832268804
kakuro,small,dsatur,5.0,0.00014124999870546162
kakuro,small,greedy,5.0,2.055001095868647e-05
kakuro,small,iterated_greedy,5.0,0.00012149999383836985
kakuro,small,largest_first,5.0,2.9649992939084768e-05
kakuro,small,smallest_last,5.0,0.00040440000884700567
kakuro,small,welsh_powell,5.5,8.244998753070831e-05
latin_square,balanced,dsatur,7.0,0.00025904999347403646
latin_square,balanced,greedy,8.0,3.964999632444233e-05
latin_square,balanced,iterated_greedy,8.0,0.0002108000044245273
latin_square,balanced,largest_first,8.0,4.4549989979714155e-05
latin_square,balanced,smallest_last,8.0,0.0005705999938072637
latin_square,balanced,welsh_powell,8.0,0.00015585000801365823
latin_square,light,dsatur,5.0,0.0001255000097444281
latin_square,light,greedy,8.0,2.0549996406771243e-05
latin_square,light,iterated_greedy,5.0,9.834999218583107e-05
latin_square,light,largest_first,8.0,2.2899999748915434e-05
latin_square,light,smallest_last,8.0,0.0002576999831944704
latin_square,light,welsh_powell,8.0,8.304999209940434e-05
latin_square,sparse,dsatur,9.0,0.0005664999771397561
latin_square,sparse,greedy,16.0,7.700000423938036e-05
latin_square,sparse,iterated_greedy,11.0,0.0004126999992877245
latin_square,sparse,largest_first,16.0,8.72999953571707e-05
latin_square,sparse,smallest_last,16.0,0.0013681999989785254
latin_square,sparse,welsh_powell,16.0,0.0003789999755099416
map_coloring,large,dsatur,5.0,5.900001269765198e-05
map_coloring,large,greedy,5.0,9.899988071992993e-06
map_coloring,large,iterated_greedy,5.0,5.980001878924668e-05
map_coloring,large,largest_first,4.0,1.4499993994832039e-05
map_coloring,large,smallest_last,5.0,0.00014990000636316836
map_coloring,large,welsh_powell,5.0,3.860000288113952e-05
map_coloring,medium,dsatur,4.0,4.6200002543628216e-05
map_coloring,medium,greedy,4.5,7.750000804662704e-06
map_coloring,medium,iterated_greedy,5.0,4.67000063508749e-05
map_coloring,medium,largest_first,4.0,1.1399999493733048e-05
map_coloring,medium,smallest_last,4.0,0.00010964999091811478
map_coloring,medium,welsh_powell,4.0,2.845001290552318e-05
map_coloring,small,dsatur,4.5,2.9950009775348008e-05
map_coloring,small,greedy,4.0,5.599998985417187e-06
map_coloring,small,iterated_greedy,4.0,3.194999590050429e-05
map_coloring,small,largest_first,4.0,8.100003469735384e-06
map_coloring,small,smallest_last,4.0,6.695001502521336e-05
map_coloring,small,welsh_powell,4.0,1.990000600926578e-05
nqueens,large,dsatur,41.0,0.0811350999865681
nqueens,large,greedy,51.0,0.005226100009167567
nqueens,large,iterated_greedy,42.0,0.032459499983815476
nqueens,large,largest_first,51.0,0.00929570000153035
nqueens,large,smallest_last,51.0,0.18611910002073273
nqueens,large,welsh_powell,54.0,0.04303060000529513
nqueens,medium,dsatur,22.0,0.0062341999873751774
nqueens,medium,greedy,25.0,0.0007090999861247838
nqueens,medium,iterated_greedy,22.5,0.003270149987656623
nqueens,medium,largest_first,27.0,0.000713250003173016
nqueens,medium,smallest_last,24.0,0.0173378000035882
nqueens,medium,welsh_powell,26.0,0.004256049985997379
nqueens,small,dsatur,12.0,0.0005504500004462898
