Comparison,Mean Diff,t-statistic,t-pvalue,U-statistic,U-pvalue,Cohen's d,Hedge's g
dsatur vs greedy,-2.105263157894738,-1.1630406818952275,0.24854977032982015,582.0,0.14311029706417772,-0.2668198315583121,-0.2641064095424649
dsatur vs iterated_greedy,-0.526315789473685,-0.32463916285178934,0.7463701319435496,648.0,0.4374726254006679,-0.07447733178876807,-0.07371993519430603
dsatur vs largest_first,-2.105263157894738,-1.1419190508581432,0.2571692482679778,608.5,0.23582815091510356,-0.26197419707339625,-0.2593100526963787
dsatur vs smallest_last,-2.026315789473685,-1.115182613440345,0.26838073556976844,608.5,0.23575303875250853,-0.2558404376621078,-0.2532386704994423
dsatur vs welsh_powell,-2.157894736842106,-1.1489910440074547,0.2542599838729924,598.0,0.19542208001282824,-0.2635966235716731,-0.2609159799421307
greedy vs iterated_greedy,1.578947368421053,0.8648137603030108,0.3899358822465053,827.0,0.27177571390868294,0.19840188348127533,0.1963842372085844
greedy vs largest_first,0.0,0.0,1.0,740.5,0.8492031050032127,0.0,0.0
greedy vs smallest_last,0.0789473684210531,0.03944112410084768,0.9686449085287058,727.0,0.9621145139830584,0.00904841443027587,0.008956396656408658
greedy vs welsh_powell,-0.05263157894736814,-0.0255836962385735,0.9796582566343723,733.0,0.9117715685833236,-0.00586930244769387,-0.005809614626191898
iterated_greedy vs largest_first,-1.578947368421053,-0.8493687397620728,0.39841565771182397,642.5,0.406445781599579,-0.19485855275923014,-0.19287694035828884
iterated_greedy vs smallest_last,-1.5,-0.8185110721192616,0.415693471015242,640.5,0.39447016107439103,-0.1877793182914207,-0.18586969810540627
iterated_greedy vs welsh_powell,-1.6315789473684212,-0.8618348227901371,0.39156263521895907,631.0,0.34189896637201966,-0.19771846834560483,-0.19570777205734446
largest_first vs smallest_last,0.0789473684210531,0.03885244714988618,0.9691126572999011,708.5,0.8908705958500029,0.008913362675558353,0.008822718309366234
largest_first vs welsh_powell,-0.05263157894736814,-0.025221772023500375,0.9799459623673762,718.5,0.9747450367180943,-0.005786271338287342,-0.005727427900948827
smallest_last vs welsh_powell,-0.13157894736842124,-0.06377126496061582,0.9493243097605265,730.0,0.9369445289777719,-0.014630131550793719,-0.014481350551972088
